,url,num_words,is_political,num_links,title,small_title
88,https://www.bbc.com/news/explainers-53142063,477,False,118,Travel abroad UK: how to fly during a Covid pandemic - BBC News,Travel abroad UK: how to fly during a Covid pandem
89,https://www.bbc.com/news/health-52354520,1406,False,136,Coronavirus cure: What progress are we making on treatments? - BBC News,Coronavirus cure: What progress are we making on t
90,https://www.bbc.com/news/blogs-trending-51967889,1104,False,123,Coronavirus: Here's how you can stop bad information from going viral - BBC News,Coronavirus: Here's how you can stop bad informati
91,https://www.bbc.com/news/world-asia-india-55632782,1636,True,109,Coronavirus vaccine: India begins world's biggest drive - BBC News,Coronavirus vaccine: India begins world's biggest 
92,https://www.bbc.com/news/election-us-2020-55578098,1161,False,118,Covid in California: The state is struggling to contain the virus - BBC News,Covid in California: The state is struggling to co
93,https://www.bbc.com/news/election-us-2020-54423928,1098,True,86,Coronavirus: Why are infections rising again in US? - BBC News,Coronavirus: Why are infections rising again in US
94,https://www.bbc.com/news/explainers-53640249,1459,False,116,Covid: How are European countries tackling the pandemic? - BBC News,Covid: How are European countries tackling the pan
95,https://www.bbc.com/news/world-55415763,451,False,132,Are pandemics the new normal? - BBC News,Are pandemics the new normal? - BBC News
96,https://www.bbc.com/news/health-53855285,502,False,125,Coronavirus vaccine: What are human challenge trials? - BBC News,Coronavirus vaccine: What are human challenge tria
97,https://www.bbc.com/news/health-55153322,487,False,122,Vaccine group: Which vaccine group am I in? - BBC News,Vaccine group: Which vaccine group am I in? - BBC 
98,https://www.bbc.com/news/science-environment-55412079,351,False,104,Coronavirus: What has Covid done for climate crisis? - BBC News,Coronavirus: What has Covid done for climate crisi
99,https://www.bbc.com/news/health-52204068,493,False,127,Covid: What happens in a hospital intensive care unit? - BBC News,Covid: What happens in a hospital intensive care u
100,https://www.bbc.com/news/world-africa-53181555,2260,False,120,Coronavirus: Africa's new variants are causing growing concern - BBC News,Coronavirus: Africa's new variants are causing gro
101,https://www.bbc.com/news/world-asia-india-55083825,1102,True,116,Coronavirus: Is India's test and tracing strategy working? - BBC News,Coronavirus: Is India's test and tracing strategy 
102,https://www.bbc.com/news/54893437,1596,True,118,"Vaccine rumours debunked: Microchips, 'altered DNA' and more - BBC News","Vaccine rumours debunked: Microchips, 'altered DNA"
103,https://www.bbc.com/news/55101238,1283,True,114,Covid-19: What’s the harm of ‘funny’ anti-vaccine memes? - BBC News,Covid-19: What’s the harm of ‘funny’ anti-vaccine 
104,https://www.bbc.com/news/53684037,1261,True,117,Coronavirus: Fact-checking fake stories in Africa - BBC News,Coronavirus: Fact-checking fake stories in Africa 
105,https://www.bbc.com/news/world-asia-56875805,1017,True,120,Covid: India sets another infection record as US shows concern - BBC News,Covid: India sets another infection record as US s
